course_code,course_title,credits,prerequisite,prerequisite_status,batch,source_type,source_sheet,source_row
CDES219,Elements of Sound,4.0,Nil,explicit_none,2023,minor_excel,Design Minor,14
CDES301,Sketch to Story,4.0,Nil,explicit_none,2023,minor_excel,Design Minor,15
CDES312,Designing Futures,5.0,Nil,explicit_none,2023,minor_excel,Design Minor,16
CDES217,Making with Reframed Media,4.0,Nil,explicit_none,2024,minor_excel,Design Minor,18
CDES218,Frames and Frequencies,4.0,Nil,explicit_none,2024,minor_excel,Design Minor,19
CDES221,Information Architecture and Design,4.0,Nil,explicit_none,2024,minor_excel,Design Minor,20
CDES227,Drawing and Moving Image,4.0,Nil,explicit_none,2024,minor_excel,Design Minor,21
CDES217,Making with Reframed Media,4.0,Nil,explicit_none,2025,minor_excel,Design Minor,25
PSYC201,Biological Psychology,4.0,Nil,explicit_none,2022,minor_excel,Psychology,2
PSYC202,Cognitive Psychology,4.0,PSYC101,recorded,2022,minor_excel,Psychology,3
PSYC255,Psychopathology,4.0,Nil,explicit_none,2022,minor_excel,Psychology,4
PSYC241,Social Psychology,4.0,PSYC101,recorded,2022,minor_excel,Psychology,5
